user_id,search_query
3babb493-6e30-49ed-91f5-1cefcc88f799,technology examples
d2868f82-d1b0-45dc-9ff1-ca4a0bcc51be,show me travel videos
84e38fa1-4bc9-4d8e-8b1e-d0f7c986e103,popular artificial intelligence content
d5d292d0-ba64-4771-86fe-32a6a44716f3,recent physics uploads
d5d292d0-ba64-4771-86fe-32a6a44716f3,popular psychology content
d5d292d0-ba64-4771-86fe-32a6a44716f3,photography review
d5d292d0-ba64-4771-86fe-32a6a44716f3,find chemistry content
42059294-6760-4364-ada6-a55258f1362e,chemistry tutorials
42059294-6760-4364-ada6-a55258f1362e,show me health videos
42059294-6760-4364-ada6-a55258f1362e,cooking tutorials
42059294-6760-4364-ada6-a55258f1362e,best geology videos
42059294-6760-4364-ada6-a55258f1362e,find art content
c55713c1-00db-47dc-adb9-0f0a56af2bf2,adventure compilation
c55713c1-00db-47dc-adb9-0f0a56af2bf2,geography examples
c55713c1-00db-47dc-adb9-0f0a56af2bf2,trending space videos
7efe006f-9bf9-443a-bcd0-a11d03981d7e,technology analysis
bc2ac2a1-be25-4e56-a4cb-8c28dbb33fb5,nature explained
6e1faadf-98f7-4668-ba5d-62c040d84912,recent travel uploads
6e1faadf-98f7-4668-ba5d-62c040d84912,best oceanography videos
6e1faadf-98f7-4668-ba5d-62c040d84912,videos about physics
6e1faadf-98f7-4668-ba5d-62c040d84912,learn about blockchain
3af6a85d-c63b-4f04-9f26-a23aecb4ebb9,meditation tutorials
3af6a85d-c63b-4f04-9f26-a23aecb4ebb9,find astronomy content
3af6a85d-c63b-4f04-9f26-a23aecb4ebb9,physics examples
5975c825-d3a8-48f4-9143-c0ce4eb84437,find nature content
5975c825-d3a8-48f4-9143-c0ce4eb84437,geology review
5975c825-d3a8-48f4-9143-c0ce4eb84437,trending oceanography videos
5975c825-d3a8-48f4-9143-c0ce4eb84437,renewable energy highlights
5975c825-d3a8-48f4-9143-c0ce4eb84437,mathematics demonstration
59ea7a59-e9a3-40f5-8efd-7a5e7ade105b,health explained
59ea7a59-e9a3-40f5-8efd-7a5e7ade105b,psychology explained
7a5485d4-fac4-44e4-97f7-f99bddf4e99d,top space videos
7445f1b0-3d35-4bb1-8562-b171d6fbbdfb,physics explained
7445f1b0-3d35-4bb1-8562-b171d6fbbdfb,science highlights
7445f1b0-3d35-4bb1-8562-b171d6fbbdfb,nature examples
7445f1b0-3d35-4bb1-8562-b171d6fbbdfb,videos about philosophy
7445f1b0-3d35-4bb1-8562-b171d6fbbdfb,learn about blockchain
3b09c1a8-b651-4586-abec-817d1d03bd5d,popular sociology content
3b09c1a8-b651-4586-abec-817d1d03bd5d,recent fitness uploads
3b09c1a8-b651-4586-abec-817d1d03bd5d,videos about sports
3b09c1a8-b651-4586-abec-817d1d03bd5d,how to machine learning
3b09c1a8-b651-4586-abec-817d1d03bd5d,videos about animation
1c2b2a21-acd2-4742-8992-7278970e7d66,anthropology highlights
1c2b2a21-acd2-4742-8992-7278970e7d66,recent virtual reality uploads
1c2b2a21-acd2-4742-8992-7278970e7d66,show me technology videos
1c2b2a21-acd2-4742-8992-7278970e7d66,biology demonstration
1c2b2a21-acd2-4742-8992-7278970e7d66,gaming highlights
e2bbbce0-4646-4d62-989a-433fb9d09292,sports highlights
0aa6cc99-2d8b-40c9-b420-d8da2d517f90,learn about technology
9efef06e-f342-487b-9cce-fe3c08f074e2,videos about sports
9efef06e-f342-487b-9cce-fe3c08f074e2,programming compilation
9efef06e-f342-487b-9cce-fe3c08f074e2,environmental science guide
0a936b19-13af-4719-a056-dc049fb8d433,design review
0a936b19-13af-4719-a056-dc049fb8d433,filmmaking guide
0a936b19-13af-4719-a056-dc049fb8d433,trending astronomy videos
0a936b19-13af-4719-a056-dc049fb8d433,history highlights
6705e699-9355-4cf3-8400-c3cd0c3c75b9,how to history
6705e699-9355-4cf3-8400-c3cd0c3c75b9,top mathematics videos
6705e699-9355-4cf3-8400-c3cd0c3c75b9,popular nature content
6b966dcd-a7a1-4f70-83b1-9b371c48ba7b,psychology guide
6b966dcd-a7a1-4f70-83b1-9b371c48ba7b,architecture guide
6b966dcd-a7a1-4f70-83b1-9b371c48ba7b,learn about history
6b966dcd-a7a1-4f70-83b1-9b371c48ba7b,find philosophy content
6b966dcd-a7a1-4f70-83b1-9b371c48ba7b,show me data science videos
cb6f0f9e-b2d5-4fb3-a28d-e0a4abb54df1,videos about animation
cb6f0f9e-b2d5-4fb3-a28d-e0a4abb54df1,science demonstration
cb6f0f9e-b2d5-4fb3-a28d-e0a4abb54df1,astronomy analysis
cb6f0f9e-b2d5-4fb3-a28d-e0a4abb54df1,show me oceanography videos
cb6f0f9e-b2d5-4fb3-a28d-e0a4abb54df1,show me education videos
c72fb059-784c-4570-9d99-b36ab8a5dbb9,popular politics content
